season,conf_mean,conf_std,n_weeks,valid_sims_mean
1,0.2235333333333333,0.24674510175096734,15,2235.3333333333335
2,0.3432795918367347,0.2875769433122724,49,3432.795918367347
3,0.27669074074074074,0.31653867763821597,54,2766.9074074074074
4,0.30999,0.4126901093302128,60,3099.9
5,0.38267361111111114,0.3086311951924678,72,3826.7361111111113
6,0.48546721311475405,0.3275737213317085,61,4854.672131147541
7,0.5171746031746032,0.34212507285147975,63,5171.746031746032
8,0.2618453333333333,0.394790165371269,75,2618.4533333333334
9,0.14626629213483144,0.10448818435138996,89,1462.6629213483145
10,0.4696033333333333,0.3827024542164276,60,4696.033333333334
11,0.40061846153846153,0.29692895083057513,65,4006.1846153846154
12,0.47568,0.26842612959778606,60,4756.8
13,0.3759013888888889,0.3896034471797982,72,3759.0138888888887
14,0.4451492537313433,0.3545365435595203,67,4451.492537313433
15,0.18957719298245612,0.19746143115044001,57,1895.7719298245613
16,0.6592016666666667,0.27628042465586045,60,6592.016666666666
17,0.3233597222222222,0.3724833924494165,72,3233.597222222222
18,0.229594,0.32306496750432634,50,2295.94
19,0.25530470588235293,0.3144813954319542,85,2553.0470588235294
20,0.1990731343283582,0.21244221644462738,67,1990.7313432835822
21,0.4753070175438597,0.3692165565953949,57,4753.070175438596
22,0.5563311475409836,0.3476048698071723,61,5563.311475409836
23,0.4647053333333333,0.2602388865624799,75,4647.053333333333
24,0.40397413793103454,0.3133605056678357,58,4039.7413793103447
25,0.4418681818181818,0.3294257255654689,66,4418.681818181818
26,0.10868333333333334,0.059176197232000134,24,1086.8333333333333
27,0.12825084745762713,0.13659624669564827,59,1282.5084745762713
28,0.33186666666666664,0.3064724226310311,57,3318.6666666666665
29,0.4070947916666667,0.2151510203357984,96,4070.9479166666665
30,0.42943953488372094,0.3201826468748441,86,4294.395348837209
31,0.27069611650485437,0.1562718363862014,103,2706.9611650485435
32,0.19478222222222222,0.23915861107941153,90,1947.8222222222223
33,0.2192407407407407,0.21578127160807872,54,2192.4074074074074
34,0.16049090909090907,0.20403990075590234,77,1604.909090909091
