season,rule_system,flip_rate,n_weeks
1,Rank,0.0,6
2,Rank,0.125,8
3,Percent,0.3,10
4,Percent,0.0,10
5,Percent,0.1,10
6,Percent,0.1,10
7,Percent,0.1,10
8,Percent,0.09090909090909091,11
9,Percent,0.2,10
10,Percent,0.1,10
11,Percent,0.3,10
12,Percent,0.1,10
13,Percent,0.3,10
14,Percent,0.1,10
15,Percent,0.4,10
16,Percent,0.0,10
17,Percent,0.2727272727272727,11
18,Percent,0.0,10
19,Percent,0.18181818181818182,11
20,Percent,0.5,10
21,Percent,0.18181818181818182,11
22,Percent,0.3,10
23,Percent,0.18181818181818182,11
24,Percent,0.1,10
25,Percent,0.1,10
26,Percent,0.25,4
27,Percent,0.0,9
28,Rank_With_Save,0.09090909090909091,11
29,Rank_With_Save,0.2727272727272727,11
30,Rank_With_Save,0.0,10
31,Rank_With_Save,0.0,10
32,Rank_With_Save,0.18181818181818182,11
33,Rank_With_Save,0.0,9
34,Rank_With_Save,0.0,11
